date,home_team,away_team,tournament,neutral,home_score,away_score,outcome,home_win,h_win_rate,h_draw_rate,h_goals_scored_avg,h_goals_conceded_avg,h_clean_sheets_rate,h_goal_diff_avg,h_games_played,h_fifa_rank,h_elo,a_win_rate,a_draw_rate,a_goals_scored_avg,a_goals_conceded_avg,a_clean_sheets_rate,a_goal_diff_avg,a_games_played,a_fifa_rank,a_elo,rank_diff,elo_diff,h2h_win_rate,h2h_games
2018-06-09,Tunísia,Espanha,Friendly,1,0.0,1.0,away_win,0,0.5,0.4,1.5,0.9,0.4,0.6,10,32,1655,0.7,0.3,3.3,0.7,0.5,2.6,10,2,1940,30,-285,0.5,0
2018-06-10,Áustria,Brasil,Friendly,0,0.0,3.0,away_win,0,0.7,0.2,1.8,0.7,0.4,1.1,10,26,1695,0.7,0.3,1.9,0.2,0.8,1.7,10,6,1980,20,-285,0.5,0
2018-06-11,Coreia do Sul,Senegal,Friendly,1,0.0,2.0,away_win,0,0.5,0.2,1.5,1.1,0.5,0.4,10,22,1720,0.4,0.5,1.3,0.6,0.6,0.7,10,19,1745,3,-25,0.5,0
2018-06-12,Japão,Paraguai,Friendly,1,4.0,2.0,home_win,1,0.2,0.2,1.0,1.9,0.1,-0.9,10,17,1775,0.3,0.0,0.9,1.7,0.1,-0.8,10,63,1515,-46,260,0.5,0
2018-06-15,Portugal,Espanha,FIFA World Cup,1,3.0,3.0,draw,0,0.6,0.3,1.6,0.7,0.6,0.9,10,5,1900,0.7,0.3,3.2,0.6,0.6,2.6,10,2,1940,3,-40,0.5,0
2018-06-15,Egito,Uruguai,FIFA World Cup,1,0.0,1.0,away_win,0,0.2,0.3,0.6,1.1,0.2,-0.5,10,38,1630,0.5,0.3,1.3,0.8,0.6,0.5,10,20,1740,18,-110,0.5,0
2018-06-15,Marrocos,Irã,FIFA World Cup,1,0.0,1.0,away_win,0,0.8,0.2,2.3,0.4,0.6,1.9,10,14,1800,0.7,0.1,1.5,0.6,0.5,0.9,10,21,1725,-7,75,0.5,0
2018-06-16,França,Austrália,FIFA World Cup,1,2.0,1.0,home_win,1,0.6,0.3,1.8,0.9,0.4,0.9,10,1,1960,0.5,0.3,1.5,1.1,0.3,0.4,10,23,1715,-22,245,0.5,0
2018-06-17,Alemanha,México,FIFA World Cup,1,0.0,1.0,away_win,0,0.5,0.3,2.2,1.0,0.2,1.2,10,12,1810,0.5,0.2,1.4,1.0,0.5,0.4,10,16,1785,-4,25,1.0,1
2018-06-17,Brasil,Suíça,FIFA World Cup,1,1.0,1.0,draw,0,0.7,0.3,1.8,0.2,0.8,1.6,10,6,1980,0.7,0.2,2.2,0.5,0.7,1.7,10,18,1770,-12,210,0.5,0
2018-06-18,Bélgica,Panamá,FIFA World Cup,1,3.0,0.0,home_win,1,0.8,0.2,3.4,0.8,0.6,2.6,10,3,1930,0.3,0.2,1.0,1.6,0.3,-0.6,10,77,1455,-74,475,0.5,0
2018-06-18,Tunísia,Inglaterra,FIFA World Cup,1,1.0,2.0,away_win,0,0.5,0.4,1.5,0.9,0.4,0.6,10,32,1655,0.7,0.3,1.4,0.3,0.7,1.1,10,4,1920,28,-265,0.5,0
2018-06-19,Colômbia,Japão,FIFA World Cup,1,1.0,2.0,away_win,0,0.3,0.5,1.5,0.8,0.5,0.7,10,15,1790,0.3,0.1,1.1,1.8,0.1,-0.7,10,17,1775,-2,15,0.5,0
2018-06-20,Irã,Espanha,FIFA World Cup,1,0.0,1.0,away_win,0,0.7,0.1,1.4,0.6,0.5,0.8,10,21,1725,0.6,0.4,3.2,0.9,0.5,2.3,10,2,1940,19,-215,0.5,0
2018-06-20,Portugal,Marrocos,FIFA World Cup,1,1.0,0.0,home_win,1,0.5,0.4,1.8,1.0,0.5,0.8,10,5,1900,0.7,0.2,1.7,0.5,0.5,1.2,10,14,1800,-9,100,0.5,0
2018-06-20,Uruguai,Arábia Saudita,FIFA World Cup,1,1.0,0.0,home_win,1,0.6,0.3,1.4,0.5,0.7,0.9,10,20,1740,0.3,0.1,1.1,2.1,0.3,-1.0,10,56,1530,-36,210,0.5,0
2018-06-21,Argentina,Croácia,FIFA World Cup,1,0.0,3.0,away_win,0,0.4,0.4,1.5,1.3,0.5,0.2,10,3,1955,0.5,0.2,1.2,0.8,0.4,0.4,10,10,1820,-7,135,0.5,0
2018-06-23,Bélgica,Tunísia,FIFA World Cup,1,5.0,2.0,home_win,1,0.8,0.2,2.8,0.8,0.6,2.0,10,3,1930,0.4,0.4,1.5,1.1,0.3,0.4,10,32,1655,-29,275,0.5,0
2018-06-23,Coreia do Sul,México,FIFA World Cup,1,1.0,2.0,away_win,0,0.3,0.2,1.0,1.3,0.4,-0.3,10,22,1720,0.5,0.2,1.2,0.9,0.6,0.3,10,16,1785,6,-65,0.5,0
2018-06-24,Inglaterra,Panamá,FIFA World Cup,1,6.0,1.0,home_win,1,0.7,0.3,1.2,0.4,0.6,0.8,10,4,1920,0.3,0.2,1.0,1.5,0.3,-0.5,10,77,1455,-73,465,0.5,0
2018-06-24,Japão,Senegal,FIFA World Cup,1,2.0,2.0,draw,0,0.4,0.1,1.2,1.6,0.1,-0.4,10,17,1775,0.5,0.4,1.4,0.7,0.5,0.7,10,19,1745,-2,30,0.5,0
2018-06-25,Arábia Saudita,Egito,FIFA World Cup,1,2.0,1.0,home_win,1,0.2,0.1,0.8,2.2,0.2,-1.4,10,56,1530,0.2,0.3,0.7,1.3,0.2,-0.6,10,38,1630,18,-100,0.5,0
2018-06-25,Espanha,Marrocos,FIFA World Cup,1,2.0,2.0,draw,0,0.6,0.4,2.5,0.9,0.5,1.6,10,2,1940,0.7,0.1,1.7,0.6,0.4,1.1,10,14,1800,-12,140,0.5,0
2018-06-25,Irã,Portugal,FIFA World Cup,1,1.0,1.0,draw,0,0.7,0.0,1.3,0.6,0.5,0.7,10,21,1725,0.5,0.4,1.7,1.0,0.5,0.7,10,5,1900,16,-175,0.5,0
2018-06-27,Coreia do Sul,Alemanha,FIFA World Cup,1,2.0,0.0,home_win,1,0.2,0.2,1.0,1.5,0.3,-0.5,10,22,1720,0.4,0.3,1.6,1.1,0.1,0.5,10,12,1810,10,-90,0.5,0
2018-06-28,Senegal,Colômbia,FIFA World Cup,1,0.0,1.0,away_win,0,0.5,0.4,1.4,0.7,0.5,0.7,10,19,1745,0.3,0.4,1.5,1.0,0.4,0.5,10,15,1790,4,-45,0.5,0
2018-06-28,Panamá,Tunísia,FIFA World Cup,1,1.0,2.0,away_win,0,0.2,0.2,0.9,2.0,0.3,-1.1,10,77,1455,0.3,0.4,1.5,1.5,0.3,0.0,10,32,1655,45,-200,0.5,0
2018-06-28,Inglaterra,Bélgica,FIFA World Cup,1,0.0,1.0,away_win,0,0.7,0.3,1.6,0.4,0.6,1.2,10,4,1920,0.8,0.2,3.1,0.9,0.6,2.2,10,3,1930,1,-10,0.5,0
2018-06-30,França,Argentina,FIFA World Cup,1,4.0,3.0,home_win,1,0.6,0.3,1.8,0.9,0.4,0.9,10,1,1960,0.5,0.2,1.6,1.6,0.4,0.0,10,3,1955,-2,5,0.5,0
2018-06-30,Uruguai,Portugal,FIFA World Cup,1,2.0,1.0,home_win,1,0.7,0.2,1.6,0.4,0.8,1.2,10,20,1740,0.4,0.5,1.6,1.1,0.4,0.5,10,5,1900,15,-160,0.5,0
2018-07-02,Brasil,México,FIFA World Cup,1,2.0,0.0,home_win,1,0.8,0.2,2.0,0.2,0.8,1.8,10,6,1980,0.6,0.1,0.9,0.7,0.6,0.2,10,16,1785,-10,195,0.5,0
2018-07-02,Bélgica,Japão,FIFA World Cup,1,3.0,2.0,home_win,1,0.8,0.2,2.8,0.6,0.7,2.2,10,3,1930,0.3,0.2,1.3,1.8,0.0,-0.5,10,17,1775,-14,155,1.0,1
2018-07-03,Colômbia,Inglaterra,FIFA World Cup,1,1.0,1.0,draw,0,0.4,0.3,1.5,0.9,0.5,0.6,10,15,1790,0.6,0.3,1.5,0.5,0.5,1.0,10,4,1920,11,-130,0.5,0
2018-07-06,Brasil,Bélgica,FIFA World Cup,1,1.0,2.0,away_win,0,0.8,0.2,1.9,0.2,0.8,1.7,10,6,1980,0.8,0.2,2.7,0.8,0.6,1.9,10,3,1930,3,50,0.5,0
2018-07-06,Uruguai,França,FIFA World Cup,1,0.0,2.0,away_win,0,0.8,0.1,1.8,0.5,0.7,1.3,10,20,1740,0.6,0.3,2.0,1.2,0.3,0.8,10,1,1960,19,-220,0.5,0
2018-07-10,França,Bélgica,FIFA World Cup,1,1.0,0.0,home_win,1,0.7,0.2,2.0,1.0,0.4,1.0,10,1,1960,0.9,0.1,2.6,0.6,0.6,2.0,10,3,1930,-2,30,0.5,0
